"tvelx-rfile"
"Time Step" "tvelx etc.."
("Time Step" "tvelx(t1)" "tvelx(t2)" "flow-time")
11268 -1.094304e-08 0 11.26911
11269 -1.094304e-08 0 11.27011
11270 -1.117587e-08 0 11.27111
11271 -1.117587e-08 0 11.27211
11272 -1.047738e-08 0 11.27311
11273 -1.094304e-08 0 11.27411
11274 -1.117587e-08 0 11.27511
11275 -1.094304e-08 0 11.27611
11276 -1.117587e-08 0 11.27711
11277 -1.094304e-08 0 11.27811
11278 -1.117587e-08 0 11.27911
11279 -1.071021e-08 0 11.28011
11280 -1.094304e-08 0 11.28111
11281 -1.071021e-08 0 11.28211
11282 -1.094304e-08 0 11.28312
11283 -1.071021e-08 0 11.28412
11284 -1.094304e-08 0 11.28512
11285 -1.071021e-08 0 11.28612
11286 -1.117587e-08 0 11.28712
11287 -1.094304e-08 0 11.28812
11288 -1.117587e-08 0 11.28912
11289 -1.094304e-08 0 11.29012
11290 -1.094304e-08 0 11.29112
11291 -1.094304e-08 0 11.29212
11292 -1.094304e-08 0 11.29312
11293 -1.094304e-08 0 11.29412
11294 -1.071021e-08 0 11.29512
11295 -1.047738e-08 0 11.29612
11296 -1.117587e-08 0 11.29712
11297 -1.094304e-08 0 11.29812
11298 -1.094304e-08 0 11.29912
11299 -1.117587e-08 0 11.30012
11300 -1.117587e-08 0 11.30112
11301 -1.094304e-08 0 11.30212
11302 -1.071021e-08 0 11.30312
11303 -1.094304e-08 0 11.30412
11304 -1.14087e-08 0 11.30512
11305 -1.094304e-08 0 11.30612
11306 -1.14087e-08 0 11.30713
11307 -1.164153e-08 0 11.30813
11308 -1.117587e-08 0 11.30913
11309 -1.14087e-08 0 11.31013
11310 -1.117587e-08 0 11.31113
11311 -1.117587e-08 0 11.31213
11312 -1.117587e-08 0 11.31313
11313 -1.117587e-08 0 11.31413
11314 -1.117587e-08 0 11.31513
11315 -1.14087e-08 0 11.31613
11316 -1.14087e-08 0 11.31713
11317 -1.164153e-08 0 11.31813
11318 -1.117587e-08 0 11.31913
11319 -1.14087e-08 0 11.32013
11320 -1.117587e-08 0 11.32113
11321 -1.14087e-08 0 11.32213
11322 -1.164153e-08 0 11.32313
11323 -1.164153e-08 0 11.32413
11324 -1.14087e-08 0 11.32513
11325 -1.187436e-08 0 11.32613
11326 -1.117587e-08 0 11.32713
11327 -1.164153e-08 0 11.32813
11328 -1.187436e-08 0 11.32913
11329 -1.187436e-08 0 11.33013
11330 -1.210719e-08 0 11.33113
11331 -1.187436e-08 0 11.33214
11332 -1.187436e-08 0 11.33314
11333 -1.210719e-08 0 11.33414
11334 -1.164153e-08 0 11.33514
11335 -1.210719e-08 0 11.33614
11336 -1.257285e-08 0 11.33714
11337 -1.210719e-08 0 11.33814
11338 -1.164153e-08 0 11.33914
11339 -1.187436e-08 0 11.34014
11340 -1.164153e-08 0 11.34114
11341 -1.14087e-08 0 11.34214
11342 -1.210719e-08 0 11.34314
11343 -1.210719e-08 0 11.34414
11344 -1.234002e-08 0 11.34514
11345 -1.234002e-08 0 11.34614
11346 -1.234002e-08 0 11.34714
11347 -1.257285e-08 0 11.34814
11348 -1.234002e-08 0 11.34914
11349 -1.234002e-08 0 11.35014
11350 -1.234002e-08 0 11.35114
11351 -1.210719e-08 0 11.35214
11352 -1.210719e-08 0 11.35314
11353 -1.234002e-08 0 11.35414
11354 -1.210719e-08 0 11.35514
11355 -1.210719e-08 0 11.35614
11356 -1.234002e-08 0 11.35715
11357 -1.234002e-08 0 11.35815
11358 -1.280569e-08 0 11.35915
11359 -1.257285e-08 0 11.36015
11360 -1.234002e-08 0 11.36115
11361 -1.234002e-08 0 11.36215
11362 -1.257285e-08 0 11.36315
11363 -1.280569e-08 0 11.36415
11364 -1.327135e-08 0 11.36515
11365 -1.303852e-08 0 11.36615
11366 -1.303852e-08 0 11.36715
11367 -1.210719e-08 0 11.36815
11368 -1.257285e-08 0 11.36915
11369 -1.327135e-08 0 11.37015
11370 -1.327135e-08 0 11.37115
11371 -1.257285e-08 0 11.37215
11372 -1.257285e-08 0 11.37315
