"tvelmax-rfile"
"Time Step" "tvelmax etc.."
("Time Step" "tvelmax(t1)" "tvelmax(t2)" "flow-time")
15883 0.6842831 0 15.88598
15884 0.685237 0 15.88698
15885 0.6861313 0 15.88798
15886 0.6869697 0 15.88898
15887 0.6877557 0 15.88998
15888 0.6884926 0 15.89098
15889 0.6891834 0 15.89198
15890 0.689831 0 15.89298
15891 0.6904382 0 15.89398
15892 0.6910074 0 15.89498
15893 0.6915411 0 15.89598
15894 0.6920413 0 15.89698
15895 0.6925104 0 15.89798
15896 0.6929501 0 15.89898
15897 0.6933622 0 15.89998
15898 0.6937488 0 15.90098
15899 0.694111 0 15.90198
15900 0.6944507 0 15.90298
15901 0.6947692 0 15.90398
15902 0.6950677 0 15.90498
15903 0.6959817 0 15.90598
15904 0.6968386 0 15.90698
15905 0.6976418 0 15.90798
15906 0.6983949 0 15.90899
15907 0.6991009 0 15.90999
15908 0.6997628 0 15.91099
15909 0.7003833 0 15.91199
15910 0.7009651 0 15.91299
15911 0.7015105 0 15.91399
15912 0.7020218 0 15.91499
15913 0.7025011 0 15.91599
15914 0.7029505 0 15.91699
15915 0.7033717 0 15.91799
15916 0.7037668 0 15.91899
15917 0.704137 0 15.91999
15918 0.7044842 0 15.92099
15919 0.7048096 0 15.92199
15920 0.7051146 0 15.92299
15921 0.7054007 0 15.92399
15922 0.7056688 0 15.92499
15923 0.7057853 0 15.92599
15924 0.7058945 0 15.92699
15925 0.7059969 0 15.92799
15926 0.7060928 0 15.92899
15927 0.7061827 0 15.92999
15928 0.7062671 0 15.93099
15929 0.7063462 0 15.93199
15930 0.7064202 0 15.93299
15931 0.7064897 0 15.934
15932 0.7065549 0 15.935
15933 0.7066159 0 15.936
15934 0.7066732 0 15.937
15935 0.7067269 0 15.938
15936 0.7067772 0 15.939
15937 0.7068244 0 15.94
15938 0.7068686 0 15.941
15939 0.70691 0 15.942
15940 0.7069489 0 15.943
15941 0.7069854 0 15.944
15942 0.7070196 0 15.945
15943 0.7058293 0 15.946
15944 0.7047133 0 15.947
15945 0.703667 0 15.948
15946 0.7026863 0 15.949
15947 0.7017668 0 15.95
15948 0.7009047 0 15.951
15949 0.7000966 0 15.952
15950 0.699339 0 15.953
15951 0.6986286 0 15.954
15952 0.6979628 0 15.955
15953 0.6973385 0 15.956
15954 0.6967532 0 15.957
15955 0.6962045 0 15.958
15956 0.6956902 0 15.95901
15957 0.6952079 0 15.96001
15958 0.6947558 0 15.96101
15959 0.6943319 0 15.96201
15960 0.6939346 0 15.96301
15961 0.6935621 0 15.96401
15962 0.6932129 0 15.96501
15963 0.690432 0 15.96601
15964 0.6878248 0 15.96701
15965 0.6853806 0 15.96801
15966 0.6830892 0 15.96901
15967 0.680941 0 15.97001
15968 0.6789272 0 15.97101
15969 0.6770391 0 15.97201
15970 0.6752691 0 15.97301
15971 0.6736097 0 15.97401
15972 0.6720539 0 15.97501
15973 0.6705954 0 15.97601
15974 0.6692281 0 15.97701
15975 0.6679463 0 15.97801
15976 0.6667445 0 15.97901
15977 0.6656179 0 15.98001
15978 0.6645616 0 15.98101
15979 0.6635714 0 15.98201
15980 0.6626431 0 15.98302
15981 0.6617728 0 15.98402
15982 0.6609569 0 15.98502
15983 0.6569055 0 15.98602
15984 0.6531073 0 15.98702
15985 0.6495466 0 15.98802
15986 0.6462084 0 15.98902
15987 0.6430788 0 15.99002
15988 0.6401448 0 15.99102
15989 0.6373942 0 15.99202
15990 0.6348154 0 15.99302
15991 0.6323979 0 15.99402
15992 0.6301315 0 15.99502
15993 0.6280066 0 15.99602
15994 0.6260146 0 15.99702
15995 0.6241472 0 15.99802
15996 0.6223965 0 15.99902
15997 0.6207551 0 16.00002
15998 0.6192163 0 16.00102
15999 0.6177738 0 16.00202
16000 0.6164213 0 16.00302
16001 0.6151534 0 16.00402
16002 0.6139647 0 16.00502
16003 0.6095981 0 16.00602
16004 0.6055044 0 16.00702
16005 0.6016665 0 16.00802
16006 0.5980685 0 16.00902
16007 0.5946953 0 16.01002
16008 0.591533 0 16.01101
