"tvely-rfile"
"Time Step" "tvely etc.."
("Time Step" "tvely(t1)" "tvely(t2)" "flow-time")
8249 -0.4787049 0 8.248889
8250 -0.4790441 0 8.249889
8251 -0.479362 0 8.25089
8252 -0.4796601 0 8.25189
8253 -0.4799396 0 8.252891
8254 -0.4802016 0 8.253891
8255 -0.4804472 0 8.254891
8256 -0.4806775 0 8.255892
8257 -0.4808934 0 8.256892
8258 -0.4810958 0 8.257893
8259 -0.4812855 0 8.258893
8260 -0.4814634 0 8.259893
8261 -0.4816301 0 8.260894
8262 -0.4817865 0 8.261894
8263 -0.4824788 0 8.262895
8264 -0.4831279 0 8.263895
8265 -0.4837363 0 8.264895
8266 -0.4843068 0 8.265896
8267 -0.4848416 0 8.266896
8268 -0.4853429 0 8.267897
8269 -0.485813 0 8.268897
8270 -0.4862536 0 8.269897
8271 -0.4866668 0 8.270898
8272 -0.487054 0 8.271898
8273 -0.4874171 0 8.272899
8274 -0.4877575 0 8.273899
8275 -0.4880767 0 8.274899
8276 -0.4883758 0 8.2759
8277 -0.4886563 0 8.2769
8278 -0.4889193 0 8.277901
8279 -0.4891658 0 8.278901
8280 -0.4893969 0 8.279902
8281 -0.4896136 0 8.280902
8282 -0.4898167 0 8.281902
8283 -0.4904941 0 8.282903
8284 -0.4911292 0 8.283903
8285 -0.4917246 0 8.284904
8286 -0.4922827 0 8.285904
8287 -0.492806 0 8.286904
8288 -0.4932966 0 8.287905
8289 -0.4937566 0 8.288905
8290 -0.4941877 0 8.289906
8291 -0.494592 0 8.290906
8292 -0.4949709 0 8.291906
8293 -0.4953262 0 8.292907
8294 -0.4956593 0 8.293907
8295 -0.4959716 0 8.294908
8296 -0.4962643 0 8.295908
8297 -0.4965388 0 8.296908
8298 -0.496796 0 8.297909
8299 -0.4970372 0 8.298909
8300 -0.4972634 0 8.29991
8301 -0.4974754 0 8.30091
8302 -0.4976741 0 8.30191
8303 -0.4978889 0 8.302911
8304 -0.4980902 0 8.303911
8305 -0.4982789 0 8.304912
8306 -0.4984559 0 8.305912
8307 -0.4986217 0 8.306912
8308 -0.4987773 0 8.307913
8309 -0.4989231 0 8.308913
8310 -0.4990598 0 8.309914
8311 -0.4991879 0 8.310914
8312 -0.499308 0 8.311914
8313 -0.4994206 0 8.312915
8314 -0.4995262 0 8.313915
8315 -0.4996252 0 8.314916
8316 -0.499718 0 8.315916
8317 -0.499805 0 8.316916
8318 -0.4998865 0 8.317917
8319 -0.499963 0 8.318917
8320 -0.5000347 0 8.319918
8321 -0.5001019 0 8.320918
8322 -0.5001649 0 8.321918
8323 -0.4994824 0 8.322919
8324 -0.4988426 0 8.323919
8325 -0.4982427 0 8.32492
