Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;1;2460;0.1421362;0.03468672
Simu_M005_NbAct100_lift;1;2480;0.1416644;0.04513262
Simu_M005_NbAct100_lift;1;2500;0.1413528;0.05366174
Simu_M005_NbAct100_lift;1;2520;0.1410874;0.05875903
Simu_M005_NbAct100_lift;1;2540;0.1406347;0.05969708
Simu_M005_NbAct100_lift;1;2560;0.1397475;0.05640188
Simu_M005_NbAct100_lift;1;2580;0.1385529;0.04942993
Simu_M005_NbAct100_lift;1;2600;0.1375101;0.03981354
Simu_M005_NbAct100_lift;1;2620;0.137091;0.02892315
Simu_M005_NbAct100_lift;1;2640;0.1376024;0.01846246
Simu_M005_NbAct100_lift;1;2660;0.1390082;0.01008517
Simu_M005_NbAct100_lift;1;2680;0.1409135;0.005124128
Simu_M005_NbAct100_lift;1;2700;0.1425724;0.004389603
Simu_M005_NbAct100_lift;1;2720;0.1432582;0.008092223
Simu_M005_NbAct100_lift;1;2740;0.1431567;0.01541273
Simu_M005_NbAct100_lift;1;2760;0.1426396;0.02523774
Simu_M005_NbAct100_lift;1;2780;0.1420523;0.03610998
Simu_M005_NbAct100_lift;1;2800;0.1416089;0.04641068
Simu_M005_NbAct100_lift;1;2820;0.1413066;0.054513
Simu_M005_NbAct100_lift;1;2840;0.141028;0.05907873
Simu_M005_NbAct100_lift;1;2860;0.140534;0.05945945
Simu_M005_NbAct100_lift;1;2880;0.1395913;0.05564237
Simu_M005_NbAct100_lift;1;2900;0.138388;0.04826552
Simu_M005_NbAct100_lift;1;2920;0.1374068;0.03840561
Simu_M005_NbAct100_lift;1;2940;0.1370962;0.02748637
Simu_M005_NbAct100_lift;1;2960;0.1377418;0.01721516
Simu_M005_NbAct100_lift;1;2980;0.1392452;0.009267195
Simu_M005_NbAct100_lift;1;3000;0.1411528;0.004779933
Simu_M005_NbAct100_lift;1;3020;0.1427156;0.004642081
Simu_M005_NbAct100_lift;1;3040;0.1432753;0.008883211
Simu_M005_NbAct100_lift;1;3060;0.1431015;0.0166034
Simu_M005_NbAct100_lift;1;3080;0.1425551;0.0266465
Simu_M005_NbAct100_lift;1;3100;0.1419769;0.03753146
Simu_M005_NbAct100_lift;1;3120;0.1415532;0.04759306
Simu_M005_NbAct100_lift;1;3140;0.1412672;0.05532448
Simu_M005_NbAct100_lift;1;3160;0.1409723;0.05935139
Simu_M005_NbAct100_lift;1;3180;0.1404362;0.0591638
Simu_M005_NbAct100_lift;1;3200;0.1394357;0.05484063
Simu_M005_NbAct100_lift;1;3220;0.1382372;0.04707187
Simu_M005_NbAct100_lift;1;3240;0.137319;0.03698546
Simu_M005_NbAct100_lift;1;3260;0.1371255;0.0260612
Simu_M005_NbAct100_lift;1;3280;0.1378939;0.01599822
Simu_M005_NbAct100_lift;1;3300;0.1394894;0.008454902
Simu_M005_NbAct100_lift;1;3320;0.1413923;0.004513711
Simu_M005_NbAct100_lift;1;3340;0.1428341;0.004948218
Simu_M005_NbAct100_lift;1;3360;0.1432798;0.009721355
Simu_M005_NbAct100_lift;1;3380;0.1430385;0.01781733
Simu_M005_NbAct100_lift;1;3400;0.142472;0.02806345
Simu_M005_NbAct100_lift;1;3420;0.1419101;0.03894084
Simu_M005_NbAct100_lift;1;3440;0.1415128;0.04881905
Simu_M005_NbAct100_lift;1;3460;0.1412304;0.05608244
Simu_M005_NbAct100_lift;1;3480;0.1409188;0.05956353
Simu_M005_NbAct100_lift;1;3500;0.1403275;0.05881593
